# LimeSDR Mini CW TX power
# Gain	145	437	1280	2250
-10	-54.9	-55.3	-53.57	-62.27
0	-50.5	-51.0	-49.47	-57.27
10	-42.0	-42.3	-40.97	-49.27
20	-32.1	-32.4	-31.17	-41.47
30	-21.9	-22.2	-20.97	-29.17
40	-11.8	-12.1	-10.87	-19.07
45	-6.8	-7.2	-6.07	-14.17
50	-1.8	-2.1	-1.37	-9.27
55	4.3	3.9	3.83	-3.47
60	8.2	7.7	6.73	0.35
64	10.2	9.6	7.93	2.43

