# Max tolerable RX input power Pin vs MDS/NF at 437 MHz at 5 kHz, 100 kHz, and 1 MHz separation
# MDS	 NF	 5k	100k	1M
-99.3	47.7	-21.0	-3.0	0.0
-107.9	39.1	-31.0	-11.3	0.0
-118.2	28.8	-39.0	-20.0	-12.1
-128.8	18.2	-52.0	-33.0	-24.2
-133.1	13.9	-55.0	-36.3	-28.3
-136.2	10.8	-59.0	-39.0	-29.7
-138.7	 8.3	-61.0	-44.1	-33.0
-139.2	 7.8	-61.0	-46.2	-33.0
-140.2	 6.8	-63.0	-54.0	-34.0
-140.9	 6.1	-64.0	-59.0	-38.5
