# Max tolerable RX input power Pin vs MDS/NF at 437 MHz at 5 kHz, 100 kHz, and 1 MHz separation
# MDS	 NF	 5k	100k	1M
-101.0	46.0	-26.7	-25.6	-21.3
-110.6	36.4	-38.0	-37.4	-32.4
-124.0	23.0	-47.6	-46.8	-43.8
-131.4	15.6	-57.0	-56.1	-49.0
-138.6	 8.4	-64.5	-63.1	-56.3
-139.5	 7.5	-67.0	-66.8	-67.5
