# Max tolerable RX input power Pin vs MDS/NF at 437 MHz at 5 kHz, 100 kHz, and 1 MHz separation
# MDS	 NF	 5k	100k	1M
-100.4	46.6	-44.0	-20.4	-1.4
-109.4	37.6	-58.4	-34.4	-11.7
-114.8	32.2	-64.5	-41.8	-18.4
-121.5	25.5	-73.5	-46.1	-24.0
-127.6	19.4	-80.4	-52.1	-29.7
-132.5	14.5	-83.3	-57.1	-35.4
-136.2	10.8	-85.7	-60.1	-39.7
-141.0	 6.0	-92.1	-66.3	-42.2
-143.0	 4.0	-96.0	-69.3	-45.5
-144.4	 2.6	-96.0	-69.3	-46.2
