# Max tolerable RX input power Pin vs MDS/NF at 437 MHz at 5 kHz, 100 kHz, and 1 MHz separation
# MDS	 NF	 5k	100k	1M
-100.5	46.5	-16.0	-17.0	 0.0
-103.1	43.9	-19.0	-20.0	-5.6
-109.3	37.7	-26.0	-25.0	-13.0
-115.8	31.2	-29.4	-33.0	-14.4
-119.7	27.3	-34.1	-38.7	-20.0
-131.4	15.6	-43.9	-45.7	-29.6
-134.2	12.8	-47.7	-46.7	-33.6
-137.2	 9.8	-51.1	-49.7	-35.1
-140.3	 6.7	-52.5	-51.7	-37.1
-140.5	 6.5	-56.3	-52.7	-37.0
-141.3	 5.7	-60.7	-53.5	-36.9
-142.2	 4.8	-66.8	-59.4	-42.0
