# Max tolerable RX input power Pin vs MDS/NF at 437 MHz at 5 kHz, 100 kHz, and 1 MHz separation
# MDS	 NF	 5k	100k	1M
-98.0	49.0	-22.0	-25.0	0.0
-110.6	36.4	-34.0	-38.0	-5.0
-121.5	25.5	-44.0	-46.0	-18.0
-129.1	17.9	-54.0	-57.0	-27.5
-132.8	14.2	-57.0	-60.0	-33.9
-132.8	14.2	-59.0	-63.0	-45.8
-133.3	13.7	-58.7	-64.0	-57.7
