# Max tolerable RX input power Pin vs MDS/NF at 437 MHz at 5 kHz, 100 kHz, and 1 MHz separation
# MDS	 NF	 5k	100k	1M
-98.1	48.9	-18.9	-15.6	-15.9
-107.5	39.5	-29.3	-25.7	-26.0
-116.3	30.7	-38.5	-34.7	-35.0
-122.9	24.1	-45.0	-41.7	-42.0
-129.9	17.1	-54.0	-50.6	-50.6
-134.8	12.2	-59.0	-58.2	-58.5
-138.2	 8.8	-64.0	-63.9	-63.8
-141.7	 5.3	-69.0	-68.6	-68.7
