# BladeRF 2.0 micro max Pin at 100 kHz separation
# Gain	 145	 437	1280	2250	2450	5830
-16	-7.3	-17.0	-21.4	-16.2	-23.0	-18.0
-9	-10.0	-20.0	-23.4	-21.2	-24.0	-21.0
-2	-17.1	-25.0	-30.4	-28.4	-29.0	-28.0
5	-21.5	-33.0	-36.4	-34.4	-37.0	-34.0
12	-27.5	-38.7	-38.4	-39.4	-44.0	-38.0
19	-36.9	-45.7	-44.4	-50.4	-52.0	-45.0
26	-38.9	-46.7	-46.4	-56.4	-59.0	-55.0
33	-44.0	-49.7	-45.4	-58.6	-61.0	-57.0
40	-46.1	-51.7	-46.4	-61.2	-62.0	-61.0
47	-50.1	-52.7	-48.3	-64.5	-64.0	-63.0
54	-52.3	-53.5	-49.9	-68.3	-65.0	-68.0
60	-61.0	-59.4	-56.2	-70.0	-68.0	-72.0
