# PlutoSDR max Pin at 100 kHz separation
# Gain	 145	 437	1280	2250	2450	5830
0	-1.0	-3.0	-29.0	-16.3	-23.0	-23.5
10	-8.0	-11.3	-36.0	-24.2	-32.0	-30.5
17	-14.0	-17.0	-42.0	-29.4	-36.0	-37.5
24	-17.0	-20.0	-53.0	-34.0	-39.0	-47.5
31	-31.0	-33.0	-54.0	-47.0	-51.0	-51.5
38	-34.0	-36.3	-60.0	-48.7	-57.0	-53.0
45	-39.1	-39.0	-62.0	-53.0	-60.0	-54.5
52	-43.4	-44.1	-65.0	-57.0	-57.0	-55.5
59	-43.2	-46.2	-66.0	-59.0	-62.0	-62.5
66	-54.2	-54.0	-68.0	-64.0	-65.0	-64.5
73	-61.5	-59.0	-71.0	-86.0	-67.0	-64.5
