# LimeSDR Mini NF using MDS
# Gain	145	 437	1280
0	48.7	49.1	54.5
6	42.3	43.3	48.9
12	35.5	36.5	42.3
18	30.6	32.5	36.3
24	24.2	25.6	29.4
30	19.4	21.4	24.4
36	17.1	18.0	19.7
42	13.7	17.1	17.0
48	13.0	14.3	15.9
54	12.4	14.1	14.6
60	11.2	14.3	15.9
66	11.3	13.8	16.5
72	11.6	13.8	15.6
73	12.4	13.8	15.6
